,Sha1ID,Malicious,Day count Mean,Day count STD,Max Day count,Min Day count,Size,WebFileUrlDomain,DTW k-mean,DTW k-median,DTW k-STD,DTW k-Malicious(%),Euclidean k-mean,Euclidean k-median,Euclidean k-STD,Euclidean k-Malicious(%)
100,512298,True,0.08333333333333333,0.2886751345948129,1.0,0.0,1887744,ymail.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
101,527926,True,0.08333333333333333,0.2886751345948129,1.0,0.0,1820760,datacloudmail.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
102,545674,True,0.08333333333333333,0.2886751345948129,1.0,0.0,2127,abv.bg,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
103,556255,True,0.08333333333333333,0.2886751345948129,1.0,0.0,1325568,ymail.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
104,560466,True,0.5833333333333334,1.7298624923456325,6.0,0.0,1868800,onet.pl,1.8666666666666667,2.0,0.3399346342395189,80.0,2.5497805408407235,2.8284271247461903,0.6043888319754555,33.333333333333336
105,568764,True,0.08333333333333333,0.2886751345948129,1.0,0.0,2200,mail2000.com.tw,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
106,576999,True,0.08333333333333333,0.2886751345948129,1.0,0.0,49664,qq.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
107,577176,True,0.08333333333333333,0.2886751345948129,1.0,0.0,242705,ymail.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
108,579568,True,0.08333333333333333,0.2886751345948129,1.0,0.0,292768,aol.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
109,579979,True,0.08333333333333333,0.2886751345948129,1.0,0.0,2074539,datacloudmail.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
110,599767,True,0.25,0.4522670168666454,1.0,0.0,204288,qq.com,0.0,0.0,0.0,100.0,0.9333333333333332,1.0,0.24944382578492946,100.0
111,601743,True,0.08333333333333333,0.2886751345948129,1.0,0.0,1286656,ymail.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
112,610436,True,0.08333333333333333,0.2886751345948129,1.0,0.0,89088,interia.pl,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
